ID,Type,TreatmentSite,Diagnosis,Description,AssignedUsersID,ApprovalStatus,,,,,,,
Target,Structure,.All,,Generic Target Structures,gsal,Reviewed,,,,,,,
ID,Name,StructureCode,CodeScheme,CodeSchemeVersion,VolumeType,VolumeCode,VolumeCodeTable,ColorAndStyle,DVHLineColor,DVHLineStyle,DVHLineWidth,SearchCTLow,SearchCTHigh
CTV,CTV High Risk,CTVp,99VMS_STRUCTCODE,1.0,CTV,,,0 CTV,-16777216,1,3,,
CTV int L,CTV Intermediate Risk Left,CTV_Intermediate,99VMS_STRUCTCODE,1.0,CTV,,,0 CTV Int L,-16777216,1,3,,
CTV int R,CTV Intermediate Risk Right,CTV_Intermediate,99VMS_STRUCTCODE,1.0,CTV,,,0 CTV int R,-16777216,1,3,,
CTV low L,CTV Low Risk Left,CTV_Low,99VMS_STRUCTCODE,1.0,CTV,,,0 CTV low L,-16777216,1,3,,
CTV low R,CTV Low Risk Right,CTV_Low,99VMS_STRUCTCODE,1.0,CTV,,,0 CTV low R,-16777216,1,3,,
GTV,GTV Primary,GTVp,99VMS_STRUCTCODE,1.0,GTV,,,0 GTV,-16777216,1,3,,
GTVn,GTV Nodes,GTVn,99VMS_STRUCTCODE,1.0,GTV,,,0 GTV,-16777216,1,3,,
PTV,PTV High Risk,PTV_High,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV,-16777216,1,3,,
PTV int,PTV Intermediate Risk,PTV_Intermediate,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV int,-16777216,1,3,,
PTV int L,PTV Intermediate Risk Left,PTV_Intermediate,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV int a,-16777216,1,3,,
PTV int R,PTV Intermediate Risk Right,PTV_Intermediate,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV int b,-16777216,1,3,,
PTV low L,PTV low Risk Left,PTV_Low,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV low L,-16777216,1,3,,
PTV low L a,PTV low Risk Left for optimizer a,PTV_Low,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV low L a,-16777216,1,3,,
PTV low L b,PTV low Risk Left for optimizer b,PTV_Low,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV low L b,-16777216,1,3,,
PTV low L c,PTV low Risk Left for optimizer c,PTV_Low,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV low L c,-16777216,1,3,,
PTV low R,PTV low Risk Right,PTV_Low,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV low R,-16777216,1,3,,
PTV low R a,PTV low Risk Right for optimizer a,PTV_Low,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV low R a,-16777216,1,3,,
PTV low R b,PTV low Risk Right for optimizer b,PTV_Low,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV low R b,-16777216,1,3,,
PTV low R c,PTV low Risk Right for optimizer c,PTV_Low,99VMS_STRUCTCODE,1.0,PTV,,,0 PTV low R c,-16777216,1,3,,
